serial,epoch,batchsize,filter,first_conv_kernel,second_conv_kernel,output_height,output_width,dense_layer,max_core,driver_core,executor_cores,task_cpus,executor_instances,driver_memory,executor_memory,memory_fraction,storage_fraction,parallelism,dataLoadingTime,dataShuffleTime,forwardTime,backwardTime,lossTime,ComputeTime,GetWeightTime,PutGradientTime,AggregateGradTime,dataValidationTime,Just random string,first_conv_flops,first_pool,first_relu,second_conv_flops,second_pool,second_relu,dense_layer_1,dense_layer_2,total_flops_per_epoch
60,1,1000,5,4,8,4,4,500,1,1,1,1,1,1g,4g,1,0,1,823183407,21684378,108469031,131944112,1531332,242380024,13412523,1420424,0,1417995952,InstrumentationResult,163072,2304,2304,232704,1152,1152,129000,10020,541708000
61,1,1000,5,8,8,4,4,100,1,1,1,1,1,1g,4g,1,0,1,790938110,18344643,109381338,129852396,1506918,241195216,14569112,1505699,0,1412260989,InstrumentationResult,326144,4608,4608,463104,1152,1152,25800,2020,828588000
62,1,1000,5,8,8,4,4,200,1,1,1,1,1,1g,4g,1,0,1,724077736,25198248,176699454,189278106,1194708,367628878,15290489,1405712,0,2076120594,InstrumentationResult,326144,4608,4608,463104,1152,1152,51600,4020,856388000
63,1,1000,5,8,8,4,4,300,1,1,1,1,1,1g,4g,1,0,1,733155918,20819375,177260053,199388665,1406048,378483055,14581853,1341217,0,2770457295,InstrumentationResult,326144,4608,4608,463104,1152,1152,77400,6020,884188000
64,1,1000,5,8,8,4,4,400,1,1,1,1,1,1g,4g,1,0,1,861416948,49145070,177952172,198440785,1479853,378273058,14059705,1846077,0,2350479601,InstrumentationResult,326144,4608,4608,463104,1152,1152,103200,8020,911988000
65,1,1000,5,8,8,4,4,500,1,1,1,1,1,1g,4g,1,0,1,881382354,24197118,173721913,190141578,1456685,365762548,13252415,1492908,0,2210357968,InstrumentationResult,326144,4608,4608,463104,1152,1152,129000,10020,939788000
66,1,1000,5,8,16,4,4,100,1,1,1,1,1,1g,4g,1,0,1,792502875,18694296,171982835,183825092,1611625,357858061,13609353,1401146,0,2110309620,InstrumentationResult,326144,4608,4608,926208,2304,2304,51400,2020,1319596000
67,1,1000,5,8,16,4,4,200,1,1,1,1,1,1g,4g,1,0,1,799440334,24324188,190356683,203526539,1663752,396006455,13469666,1483357,0,2155935190,InstrumentationResult,326144,4608,4608,926208,2304,2304,102800,4020,1372996000
68,1,1000,5,8,16,4,4,300,1,1,1,1,1,1g,4g,1,0,1,717452443,23809237,201044727,210313320,1273669,413087724,13154665,1550643,0,2318513503,InstrumentationResult,326144,4608,4608,926208,2304,2304,154200,6020,1426396000
69,1,1000,5,8,16,4,4,400,1,1,1,1,1,1g,4g,1,0,1,769516177,49169552,200695671,203123423,1572119,405812294,13474187,1489865,0,2680122770,InstrumentationResult,326144,4608,4608,926208,2304,2304,205600,8020,1479796000
70,1,1000,5,8,16,4,4,500,1,1,1,1,1,1g,4g,1,0,1,750083085,23625952,195906768,212715580,1492954,410556905,13447476,1569323,0,2302173365,InstrumentationResult,326144,4608,4608,926208,2304,2304,257000,10020,1533196000
71,1,1000,5,16,16,4,4,100,1,1,1,1,1,1g,4g,1,0,1,1593109406,24756787,207342871,220450007,1434373,429719284,13950709,1827594,0,2495965729,InstrumentationResult,652288,9216,9216,1847808,2304,2304,51400,2020,2576556000
72,1,1000,5,16,16,4,4,200,1,1,1,1,1,1g,4g,1,0,1,1167683004,23594883,312883492,320929541,1295005,635564085,16161490,1512060,0,3401139070,InstrumentationResult,652288,9216,9216,1847808,2304,2304,102800,4020,2629956000
73,1,1000,5,16,16,4,4,300,1,1,1,1,1,1g,4g,1,0,1,792387330,24807809,307771837,321756005,1248774,631242627,13000038,1477245,0,3331621177,InstrumentationResult,652288,9216,9216,1847808,2304,2304,154200,6020,2683356000
74,1,1000,5,16,16,4,4,400,1,1,1,1,1,1g,4g,1,0,1,737784621,27477687,103567789,120788191,1298484,226163081,16070615,1493236,0,1383154212,InstrumentationResult,652288,9216,9216,1847808,2304,2304,205600,8020,2736756000
